dataset,feature,overall_variance,mean_class_variance,max_class_variance,variance_stability_ratio
diabetes_012,HighBP,0.2449601223581414,0.21765307043890125,0.2334037729583663,0.8885245008192959
diabetes_012,HighChol,0.24424333101899628,0.2306405961388319,0.23545427961530727,0.9443066272335336
diabetes_012,CholCheck,0.03593707090965281,0.020346590598561438,0.04105610866898567,0.5661727593134553
diabetes_012,BMI,43.6748390476974,47.30983874627291,54.21966889381808,1.0832286913434466
diabetes_012,Smoker,0.24677116005828267,0.24824435402178094,0.2500016556654306,1.0059698789888993
diabetes_012,Stroke,0.03892496165812113,0.05616649164520302,0.08391142024100981,1.44294276095927
diabetes_012,HeartDiseaseorAttack,0.08531499943830688,0.12091138438899385,0.1732107156561055,1.4172347791718323
diabetes_012,PhysActivity,0.18418606781033517,0.20775954133850164,0.2329663931296423,1.1279872783452936
diabetes_012,Fruits,0.2319763066181958,0.23728321956447282,0.24270669044405893,1.0228769611157382
diabetes_012,Veggies,0.15301824964758381,0.16954761219457234,0.18426010948797053,1.1080221645787824
diabetes_012,HvyAlcoholConsump,0.05303891396834272,0.04130350741689585,0.058018572842348855,0.7787396899104803
diabetes_012,AnyHealthcare,0.04655181934888376,0.046066493258934436,0.05185068416293054,0.9895744979092645
diabetes_012,NoDocbcCost,0.07709146653849518,0.09352504601000007,0.11263972300484155,1.2131698903833783
diabetes_012,GenHlth,1.141643873705667,1.0385677099675263,1.056639894634385,0.90971250657741
diabetes_012,MentHlth,54.95029614130652,69.70923373077203,80.06164770959697,1.2685870436714737
diabetes_012,PhysHlth,76.0026749942765,99.25334296848088,127.72368810412472,1.3059190742425224
diabetes_012,DiffWalk,0.13992506916280562,0.18291076110797158,0.23342127987593614,1.3072050791352567
diabetes_012,Sex,0.24644191399453938,0.2471288400046422,0.24957111532396226,1.002787374919179
diabetes_012,Age,9.328262460492324,7.334327052594478,9.640664625646787,0.7862479302718278
diabetes_012,Education,0.9717507255315295,1.0671002637207712,1.1539798699066717,1.098121396448752
diabetes_012,Income,4.289652241272433,4.605254804791792,4.916504124611363,1.0735729951446464
diabetes_binary_5050,HighBP,0.2459765131991671,0.21017659291466337,0.23419185190235103,0.8544579731662569
diabetes_binary_5050,HighChol,0.24934288040093436,0.22849006483504097,0.2359140975389368,0.9163689152368706
diabetes_binary_5050,CholCheck,0.024129348328483784,0.023808453099383616,0.04084489354663827,0.9867010403790573
diabetes_binary_5050,BMI,50.608339402364976,46.25325704335766,54.21966889381808,0.9139453613685692
diabetes_binary_5050,Smoker,0.24939210409817436,0.247551146403178,0.24967509959162312,0.992618219804298
diabetes_binary_5050,Stroke,0.05830668654102984,0.05739022468960066,0.08391142024100981,0.9842820454085608
diabetes_binary_5050,HeartDiseaseorAttack,0.12596414001637846,0.12032993569053153,0.1732107156561055,0.9552713627456645
diabetes_binary_5050,PhysActivity,0.20877945619502689,0.2035263596332414,0.2329663931296423,0.9748390159763688
diabetes_binary_5050,Fruits,0.23750527609157057,0.23681409559145306,0.24270669044405893,0.997089830965056
diabetes_binary_5050,Veggies,0.1666120286328767,0.16556681379414373,0.18426010948797053,0.9937266543879851
diabetes_binary_5050,HvyAlcoholConsump,0.040896068620795166,0.040528695180982996,0.058072080545111676,0.9910169008366402
diabetes_binary_5050,AnyHealthcare,0.04301242285853111,0.042989898450447275,0.047366365972128954,0.9994763278470056
diabetes_binary_5050,NoDocbcCost,0.08509572639470349,0.08495404566622944,0.09466241441227008,0.9983350429630639
diabetes_binary_5050,GenHlth,1.2400259336094976,1.034013705162978,1.0480736795949896,0.8338645806811038
diabetes_binary_5050,MentHlth,66.514244481917,66.01139892634811,80.06164770959697,0.992440032064025
diabetes_binary_5050,PhysHlth,101.24908699701861,96.65338924813015,127.72368810412472,0.9546099833075652
diabetes_binary_5050,DiffWalk,0.18886029452695732,0.17482367807614413,0.23342127987593614,0.9256772500224516
diabetes_binary_5050,Sex,0.24815421350890227,0.24766823236198243,0.24957111532396226,0.9980416163802014
diabetes_binary_5050,Age,8.134777362605137,7.502852706742713,9.575532809510625,0.9223181375845236
diabetes_binary_5050,Education,1.059007293926375,1.0282432254679459,1.1249091596469805,0.9709500882242573
diabetes_binary_5050,Income,4.731477533651426,4.493182383168962,4.916504124611363,0.9496362079735875
diabetes_binary_full,HighBP,0.2449601223581414,0.2104676595029778,0.23477398507897987,0.8591915185087381
diabetes_binary_full,HighChol,0.24424333101899628,0.22883991219451524,0.23661379225788537,0.9369341272893014
diabetes_binary_full,CholCheck,0.03593707090965281,0.023627768331044078,0.04048352400995919,0.6574761863715939
diabetes_binary_full,BMI,43.6748390476974,46.90077830532721,54.21966889381808,1.0738626478762006
diabetes_binary_full,Smoker,0.24677116005828267,0.2474588899024894,0.24967509959162312,1.0027869133655825
diabetes_binary_full,Stroke,0.03892496165812113,0.057523745276889984,0.08391142024100981,1.4778112251496205
